State,2023,2022,2021,2020,2019
Alabama,13000,8700,4700,2900,2000
Alaska,2700,2000,1300,900,700
Arizona,89800,65800,40700,28800,19500
Arkansas,7100,5100,2400,1300,900
California,1256600,903600,563100,425300,349700
Colorado,90100,59900,37000,24700,19200
Connecticut,31600,22000,13300,9000,6900
Delaware,8400,5400,3000,1900,1300
District of Columbia,8100,5900,3700,2400,1800
Florida,254900,168000,95600,58200,40300
Georgia,92400,60100,34000,23500,19000
Hawaii,25600,19800,14200,10700,8800
Idaho,8500,5900,3500,2300,1600
Illinois,99600,66900,36500,26000,19300
Indiana,26100,17700,10400,7000,5100
Iowa,9000,6200,3700,2300,1600
Kansas,11300,7600,4500,3100,2300
Kentucky,11600,7600,4200,2600,1900
Louisiana,8200,5900,3200,2000,1400
Maine,7400,5000,3000,1900,1300
Maryland,72100,46100,25600,18000,13200
Massachusetts,73800,49400,30500,21000,14100
Michigan,50300,33100,17500,10600,6600
Minnesota,37100,24300,15000,10400,7700
Mississippi,3600,2400,1300,800,500
Missouri,26900,17900,10000,6700,4900
Montana,4600,3300,1600,900,700
Nebraska,6900,4600,2700,1800,1300
Nevada,47400,32900,17400,11000,7900
New Hampshire,9900,7000,4000,2700,1900
New Jersey,134800,87000,47800,30400,20200
New Mexico,10300,7100,4200,2600,1900
New York,131300,84700,51900,32600,23000
North Carolina,70200,45600,25200,16200,11600
North Dakota,1000,600,400,200,200
Ohio,50400,34100,21200,14500,10200
Oklahoma,22800,16300,7100,3400,3400
Oregon,64400,47000,30300,22800,18800
Pennsylvania,70200,47400,26800,17500,12000
Rhode Island,6400,4300,2500,1600,1100
South Carolina,20900,13500,7400,4400,3000
South Dakota,1700,1200,700,400,300
Tennessee,33200,22000,12200,7800,5700
Texas,230100,149000,80900,52200,38400
Utah,40000,28000,16500,11200,8000
Vermont,7800,5300,3400,2200,1700
Virginia,84900,56600,30700,20500,15000
Washington,152100,104100,66800,50500,40400
West Virginia,2800,1900,1000,600,400
Wisconsin,24900,15700,9300,6300,4700
Wyoming,1100,800,500,300,200
