Year,Transportation,Electricity Generation,Industry,Agriculture,Commercial,Residential,Total
1990,1521.42,1880.18,1723.32,595.95,447.01,345.60,"6,513.5"
1991,1474.77,1874.41,1702.87,587.41,454.45,355.26,"6,449.2"
1992,1533.76,1889.64,1729.28,587.51,449.97,361.81,"6,552.0"
1993,1570.22,1964.99,1701.00,608.73,443.08,373.15,"6,661.2"
1994,1624.55,1989.60,1719.67,612.16,446.05,363.77,"6,755.8"
1995,1659.12,2006.05,1741.77,618.12,444.49,367.29,"6,836.8"
1996,1714.59,2078.44,1762.11,625.69,451.63,399.14,"7,031.6"
1997,1740.50,2143.76,1765.41,610.73,442.88,380.43,"7,083.7"
1998,1782.67,2230.09,1757.76,621.02,416.34,346.52,"7,154.4"
1999,1853.62,2243.49,1703.94,614.99,411.82,366.33,"7,194.2"
2000,1903.74,2350.06,1699.09,607.23,425.63,387.64,"7,373.4"
2001,1875.44,2310.78,1631.35,622.41,414.05,377.79,"7,231.8"
2002,1916.20,2326.47,1613.80,628.40,415.31,375.11,"7,275.3"
2003,1923.66,2357.97,1593.64,627.68,431.72,393.68,"7,328.4"
2004,1956.16,2391.13,1639.83,633.54,429.13,381.91,"7,431.7"
2005,1965.92,2457.45,1587.26,634.30,418.86,371.19,"7,435.0"
2006,1966.34,2402.37,1624.49,638.73,404.90,334.36,"7,371.2"
2007,1967.19,2468.32,1611.63,654.90,418.43,355.27,"7,475.7"
2008,1863.44,2415.24,1571.71,643.04,425.32,363.83,"7,282.6"
2009,1789.02,2198.66,1415.50,639.83,428.26,353.87,"6,825.1"
2010,1795.15,2313.10,1488.57,647.14,430.59,355.01,"7,029.6"
2011,1762.38,2210.22,1488.39,641.23,425.53,348.86,"6,876.6"
2012,1743.52,2072.66,1473.16,624.39,406.46,306.48,"6,626.7"
2013,1746.77,2090.99,1533.83,658.49,429.20,357.20,"6,816.5"
2014,1780.99,2091.04,1526.88,660.87,439.36,377.62,"6,876.8"
2015,1789.41,1951.70,1506.06,657.35,451.67,350.69,"6,706.9"
2016,1824.49,1859.33,1456.23,650.36,435.63,327.03,"6,553.1"
2017,1841.92,1779.36,1478.41,658.50,437.39,329.16,"6,524.7"
2018,1871.61,1799.18,1541.87,683.53,453.48,376.82,"6,726.5"
2019,1874.55,1650.75,1531.80,661.04,462.63,384.21,"6,565.0"
2020,1625.28,1482.17,1435.91,640.05,436.92,358.04,"5,978.4"
2021,1805.47,1584.45,1455.80,645.88,443.66,369.61,"6,304.9"
2022,1801.52,1577.49,1452.54,633.96,463.66,391.30,"6,320.5"
