State,2023,2022,2021,2020,2019
AL,424,327,277,224,195
AK,65,61,52,37,19
AZ,1198,984,890,573,522
AR,334,218,164,112,98
CA,16381,14609,14607,7689,6439
CO,2165,1787,1619,1066,861
CT,865,598,533,456,422
DE,197,156,134,70,57
DC,369,301,291,189,172
FL,3430,2923,2636,1836,1562
GA,1886,1552,1585,1008,882
HI,384,405,386,320,296
ID,205,155,139,113,95
IL,1337,1342,1079,805,663
IN,565,404,357,282,239
IA,371,305,281,188,141
KS,547,489,493,246,234
KY,328,256,225,168,133
LA,265,193,159,141,107
ME,486,412,301,220,184
MD,1726,1384,1257,884,738
MA,2965,2406,2176,1038,811
MI,1447,1149,817,567,616
MN,773,601,586,445,380
MS,163,114,112,104,81
MO,1240,1029,1047,508,452
MT,126,98,75,65,55
NE,260,214,182,115,95
NV,596,478,451,299,284
NH,261,201,164,131,121
NJ,1299,938,749,553,457
NM,278,211,189,120,82
NY,3898,3326,2983,2036,1655
NC,1595,1166,1120,813,732
ND,98,80,61,42,28
OH,1586,1247,957,656,544
OK,358,340,313,263,131
OR,1263,1009,994,745,722
PA,1712,1326,1148,757,572
RI,317,297,255,148,113
SC,559,413,385,309,286
SD,98,69,58,45,41
TN,918,695,685,494,453
TX,3104,2471,2320,1579,1376
UT,893,780,909,444,289
VT,381,351,329,264,237
VA,1562,1221,1139,814,710
WA,2202,1784,1773,1235,1095
WV,155,137,110,93,89
WI,577,470,475,381,345
WY,103,86,70,61,57
