Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References,Status,Status Date
344,US,Vehicle Incremental Cost Allocation,"The U.S. General Services Administration (GSA) must allocate the
incremental cost of purchasing alternative fuel vehicles (AFVs) across
the entire fleet of vehicles distributed by GSA. This mandate also
applies to other federal agencies that procure vehicles for federal
fleets. For more information, see the GSA\'s
[AFV](http://www.gsa.gov/afv) website. (Reference 42 [U.S.
Code](https://www.govinfo.gov/) 13212 (c))
",1992-10-24 00:00:00 UTC,2005-08-08 00:00:00 UTC,false,61,Laws and Regulations,U.S. General Services Administration,,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,GOV,"",amended,2005-08-08
347,US,Vehicle Acquisition and Fuel Use Requirements for State and Alternative Fuel Provider Fleets,"Under the Energy Policy Act (EPAct) of 1992, as amended, certain state
government and alternative fuel provider fleets are required to acquire
alternative fuel vehicles (AFVs) as a portion of their annual light-duty
vehicle acquisitions. Compliance is required by fleets that operate,
lease, or control 50 or more light-duty vehicles within the United
States. Of those 50 vehicles, at least 20 must be used primarily within
a single Metropolitan Statistical Area/Consolidated Metropolitan
Statistical Area, and those same 20 vehicles must also be capable of
being centrally fueled for the fleet to be subject to the regulatory
requirements.

Under [Standard
Compliance](https://epact.energy.gov/standard-compliance), the AFVs that
covered fleets acquire help them achieve compliance, with each AFV
acquired earning the fleet one AFV-acquisition credit. Covered fleets
may earn additional credits for AFVs earned in excess of their
requirements, and these credits may be banked for future use toward
compliance or traded with other fleets. Additionally, fleets that use
fuel blends containing at least 20% biodiesel (B20) in medium- and
heavy-duty vehicles may earn credits toward their annual AFV-acquisition
requirements. A fleet may also earn credits that may be used toward
compliance or banked once the fleet achieves compliance for investments
in alternative fuel infrastructure, mobile non-road equipment, and
emerging technologies associated with certain electric drive vehicle
technologies.

Fleets may also opt into [Alternative
Compliance](https://epact.energy.gov/alternative-compliance), which
allows fleets the option to choose a petroleum reduction path in lieu of
acquiring AFVs under Standard Compliance. Interested fleets must obtain
from DOE a waiver from Standard Compliance by submitting a plan that
demonstrates a path by which they will achieve a certain level of
petroleum reduction specific to their fleet composition.

For more information, visit the [EPAct State and Alternative Fuel
Provider Fleets](https://epact.energy.gov/) website.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13251 and 13263a,
and 10 [CFR](https://www.govinfo.gov/) 490)
",1992-10-24 00:00:00 UTC,2007-03-20 00:00:00 UTC,false,23,Laws and Regulations,U.S. Department of Energy,2015-01-02 16:15:19 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,"",amended,2007-03-20
357,US,Vehicle Acquisition and Fuel Use Requirements for Federal Fleets,"Under the Energy Policy Act (EPAct) of 1992, 75% of new light-duty
vehicles acquired by covered federal fleets must be alternative fuel
vehicles (AFVs). As amended in January 2008, Section 301 of EPAct 1992
expands the definition of AFVs to include hybrid electric vehicles, fuel
cell vehicles, and advanced lean burn vehicles. Fleets that use fuel
blends containing at least 20% biodiesel (B20) may earn credits toward
their annual requirements. Federal fleets are also required to use
alternative fuels in dual-fuel vehicles unless the U.S. Department of
Energy (DOE) approves waivers for agency vehicles; grounds for a waiver
include lack of alternative fuel availability and unreasonable cost (per
EPAct 2005, section 701).

Additional requirements for federal fleets were included in the [Energy
Independence and Security Act of
2007](http://www.afdc.energy.gov/laws/eisa), such as fleet management
plans and petroleum reduction from 2005 levels (Section 142), low
greenhouse gas (GHG) emitting vehicle acquisition requirements (Section
141), and renewable fuel infrastructure installation requirements
(Section 246). For more information, see the [Federal Fleet
Management](https://federalfleets.energy.gov/) website.

To track progress toward meeting AFV acquisition and fuel use
requirements, federal fleets must report on their percent alternative
fuel increase compared to the fiscal year 2005 baseline, alternative
fuel use as a percentage of total fuel consumption, AFV acquisitions as
a percentage of vehicle acquisitions, and fleet-wide miles per gasoline
gallon equivalent of petroleum fuels.

Executive Order 13834, issued in May 2018, requires the Secretary of
Energy (Secretary), in coordination with the Secretary of Defense, the
Administrator of General Services, and the heads of other agencies as
appropriate, to review the existing federal vehicle fleet requirements.
In April 2019, the Secretary provided a report to the Chairman of the
Council on Environmental Quality and the Director of the Office of
Management and Budget detailing opportunities to optimize federal fleet
performance, reduce associated costs, and streamline reporting and
compliance requirements. Specifically, the report recommends that
federal agencies identify and implement strategies to:

-   Right-size the fleet
-   Reduce vehicle miles traveled
-   Implement more fuel efficient vehicles
-   Align the implementation of AFVs and associated fueling
    infrastructure

Executive Order 14008, issued in January 2021, requires the Chair of the
Council on Environmental Quality, the Administrator of General Services,
and the Director of the Office and Management and Budget, in
coordination with the Secretary of Commerce, the Secretary of Labor, the
Secretary, and the heads of other relevant agencies, to assist the
National Climate Advisor in developing a comprehensive plan to
facilitate clean and zero-emission vehicles for federal, state, local,
and tribal government fleets, including vehicles of the U.S. Postal
Service. The plan must be submitted to the National Climate Task Force
by April 27, 2021.

(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13212 and [Executive
Order
13834](https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf)
and [Executive Order
14008](https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf))
",1992-10-24 00:00:00 UTC,2021-01-27 00:00:00 UTC,false,22,Laws and Regulations,U.S. Department of Energy,2021-04-06 23:22:28 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HEV|HY|NG|PHEV|LPG,"",REQ,GOV|TRIBAL,http://www.gpo.gov/fdsys|https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-11101.pdf|https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-02177.pdf,amended,2021-01-27
358,US,Vehicle Acquisition and Fuel Use Requirements for Private and Local Government Fleets,"Under the Energy Policy Act (EPAct) of 1992, the U.S. Department of
Energy (DOE) was directed to determine whether private and local
government fleets should be mandated to acquire alternative fuel
vehicles (AFVs). In January 2004, DOE published a final rule announcing
its decision not to implement an AFV acquisition mandate for private and
local government fleets. In response to a March 2006 ruling by a U.S.
District Court, DOE issued a subsequent final rulemaking on the new
Replacement Fuel Goal in March 2007, which extended the EPAct 1992 goal
to 2030. The goal is to achieve a domestic production capacity for
replacement fuels sufficient to replace 30% of the U.S. motor fuel
consumption. In March 2008, DOE issued its determination not to
implement a fleet compliance mandate for private and local government
fleets, concluding that such a mandate is not necessary to achieve the
Replacement Fuel Goal. For more information on the Private and Local
Government Fleet Rule compliance, visit the [EPAct Private and Local
Government Fleet Determination](https://epact.energy.gov/about) website.
(Reference 42 [U.S. Code](https://www.govinfo.gov/) 13257)
",1992-10-24 00:00:00 UTC,2008-03-14 00:00:00 UTC,false,24,Laws and Regulations,U.S. Department of Energy,,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,"",amended,2008-03-14
386,US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs)
and electric vehicles (EVs) from HOV lane requirements within the state.
Eligible AFVs are defined as vehicles operating solely on methanol,
denatured ethanol, or other alcohols; a mixture containing at least 85%
methanol, denatured ethanol, or other alcohols; natural gas, propane,
hydrogen, or coal derived liquid fuels; or fuels derived from biological
materials. EVs are defined as vehicles that are recharged from an
external source of electricity and have a battery capacity of at least 4
kilowatt-hours. States are also allowed to establish programs allowing
low-emission and energy-efficient vehicles to pay a toll to access HOV
lanes.

Vehicles must be certified by the U.S. Environmental Protection Agency
(EPA) and appropriately labeled for use in HOV lanes. The U.S.
Department of Transportation (DOT) is responsible for planning and
implementing HOV programs, including the low-emission and
energy-efficient vehicle criteria EPA established. States that choose to
adopt these requirements will be responsible for enforcement and vehicle
labeling. The HOV exemption for AFVs and EVs expires September 30, 2025
and low-emission and energy-efficient vehicle toll-access to HOV lanes
expired September 30, 2019.

(Reference [Public
Law](https://www.congress.gov/public-laws/114th-congress) 114-94 and 23
[U.S. Code](https://www.govinfo.gov/) 166)
",2005-08-10 00:00:00 UTC,2015-12-04 00:00:00 UTC,false,59,Laws and Regulations,U.S. Department of Transportation,2015-12-14 22:09:37 UTC,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|OTHER|PHEV|LPG,"",DREST,IND,http://www.gpo.gov/fdsys/|https://www.congress.gov/114/plaws/publ94/PLAW-114publ94.pdf,amended,2015-12-04
388,US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate
on propane, natural gas, methane gas, ethanol, or electricity are
classified as aftermarket AFV conversions. All vehicle conversions,
except those that are completed for a vehicle to run on electricity,
must meet current applicable U.S. Environmental Protection Agency (EPA)
standards. For more information about vehicle conversion certification
requirements, see the Alternative Fuels Data Center\'s [Vehicle
Conversions](https://afdc.energy.gov/vehicles/conversions.html) website
and EPA\'s [Certification and Compliance for Vehicles and
Engines](https://www.epa.gov/ve-certification) website. (Reference 40
[CFR](https://www.govinfo.gov/) 85 and [Enforcement Policy on Vehicle
and Engine Tampering and Aftermarket Defeat
Devices](https://www.epa.gov/sites/default/files/2020-12/documents/epatamperingpolicy-enforcementpolicyonvehicleandenginetampering.pdf))
",2011-04-08 00:00:00 UTC,2011-03-30 00:00:00 UTC,false,37,Laws and Regulations,U.S. Environmental Protection Agency,,,,,"",AFTMKTCONV|ETH|ELEC|HEV|NG|PHEV|LPG,"",AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://www.gpo.gov/fdsys/,amended,2011-03-30
391,US,Alternative Fuel Definition,"The following fuels are defined as alternative fuels by the Energy
Policy Act (EPAct) of 1992: pure methanol, ethanol, and other alcohols;
blends of 85% or more of alcohol with gasoline; natural gas and liquid
fuels domestically produced from natural gas; propane; coal-derived
liquid fuels; hydrogen; electricity; pure biodiesel (B100); fuels, other
than alcohol, derived from biological materials; and P-Series fuels. In
addition, the U.S. Department of Energy may designate other fuels as
alternative fuels, provided that the fuel is substantially
non-petroleum, yields substantial energy security benefits, and offers
substantial environmental benefits. For more information, see the
[EPAct](https://epact.energy.gov/) website. (Reference 42 [U.S.
Code](https://www.govinfo.gov/) 13211)
",1992-10-24 00:00:00 UTC,,false,25,Laws and Regulations,U.S. Department of Energy,,,,,"",BIOD|ETH|ELEC|HY|NG|PHEV|LPG,"",STD,STATION|AFP|PURCH,"",enacted,1992-10-24
431,US,Procurement Preference for Electric and Hybrid Electric Vehicles,"The U.S. Department of Defense (DOD) must exhibit a preference for the
lease or procurement of motor vehicles with electric or hybrid electric
propulsion systems, including plug-in hybrid systems, if the vehicles
are commercially available at a cost reasonably comparable to motor
vehicles with internal combustion engines. Tactical vehicles designed
for use in combat are excluded from the requirement. (Reference 10 [U.S.
Code](https://www.govinfo.gov/) 2922g)
",2009-10-28 00:00:00 UTC,,false,,Laws and Regulations,U.S. Department of Defense,,,,,"",ELEC|HEV|HY|PHEV,"",REQ,GOV,"",enacted,2009-10-28
4249,CA,Zero Emission Vehicle (ZEV) Production Requirements,"The California Air Resources Board (CARB) certifies new passenger cars,
light-duty trucks, and medium-duty passenger vehicles as ZEVs if the
vehicles produce zero exhaust emissions of any criteria pollutant (or
precursor pollutant) under all possible operational modes and
conditions. Manufacturers with annual sales between 4,501 and 60,000
vehicles may comply with the ZEV requirements through multiple
alternative compliance options that include producing low emission
vehicles and obtaining ZEV credits. Manufacturers with annual sales of
4,500 vehicles or less are not subject to this regulation.

CARB's emissions control program for model year (MY) 2017 through 2025
combines the control of smog, soot, and greenhouse gases (GHGs) and
requirements for ZEVs into a single package of standards called Advanced
Clean Cars (ACC). In December 2012, CARB finalized new regulatory
requirements that allow vehicle manufacturer compliance with the U.S.
Environmental Protection Agency's (EPA) GHG requirements for MY 2017
through 2025 to serve as compliance with California's adopted GHG
emissions requirements for those same model years.

The accounting procedures for MY 2018 through 2025 are based on a credit
system as shown in the table below. The minimum ZEV requirement for each
manufacturer includes the percentage of passenger cars and light-duty
trucks produced by the manufacturer and delivered for sale in
California. The regulation also includes opportunities for compliance
with transitional ZEVs, which must demonstrate certain exhaust emissions
standards, evaporative emissions standards, on-board diagnostic
requirements, and extended warranties.

MY

ZEV Requirement

2021

12%

2022

14.5%

2023

17%

2024

19.5%

2025 and later

22%

In November 2022, CARB finalized another rule in addition to the ACC
emissions control program for MY 2026 through 2035 called Advanced Clean
Cars II (ACCII), requiring an increasing percentage of ZEVs in new
vehicle sales beyond MY 2025. ZEV sales requirements under ACCII are
shown in the table below.

MY

ZEV Requirement

2026

35%

2027

43%

2028

51%

2029

59%

2030

68%

20231

76%

2032

82%

2033

88%

2034

94%

2035 and later

100%

For more information, see the CARB [ZEV
Program](http://www.arb.ca.gov/msprog/zevprog/zevprog.htm) website.

(Reference [California Code of Regulations Title 13, Section 1962 -1962.2 and 1962.4](http://www.oal.ca.gov/))",,2022-11-01 00:00:00 UTC,false,235,Laws and Regulations,"",2023-11-13 04:56:04 UTC,,,,"",ELEC|HY|PHEV,"",AIRQEMISSIONS|OTHER,MAN,http://www.oal.ca.gov/,amended,2022-11-01
4323,DC,Alternative Fuel Vehicle Acquisition Requirements,"Fleets that operate at least 10 vehicles in the District of Columbia
must ensure that 70% of newly purchased vehicles with a gross vehicle
weight rating (GVWR) of 8,500 pounds (lbs.) or less and 50% of vehicles
with a GVWR between 8,500 lbs. and 26,000 lbs. are clean fuel vehicles.
For this requirement, a clean fuel is any fuel, including diesel,
ethanol (including E85), hydrogen, propane, natural gas, reformulated
gasoline, or other power source (including electricity) used in a clean
fuel vehicle that complies with standards and requirements applicable to
such vehicles. Certain exemptions apply. (Reference [District of
Columbia Code](https://code.dccouncil.us/dc/council/code/) 50-702 and
50-703)
",,,false,40,Laws and Regulations,"",,,,,"",ETH|ELEC|HY|NG|PHEV|LPG,"",REQ,FLEET|GOV,https://code.dccouncil.us/dc/council/code/,,
